aX,aY,aZ,gX,gY,gZ
0.066,-0.487,2.963,-215.027,72.083,-32.349
-0.011,-0.190,2.930,-313.965,68.176,-35.217
-0.024,0.208,2.296,-464.722,98.938,-67.261
0.044,0.389,1.974,-518.799,141.113,-121.338
0.203,0.522,1.489,-511.902,164.368,-146.667
0.284,0.428,1.335,-462.158,234.985,-177.734
0.364,0.055,1.029,-443.054,269.226,-185.669
0.378,-0.159,0.853,-432.983,313.721,-184.570
0.343,-0.594,0.559,-441.833,324.402,-171.448
0.302,-0.751,0.427,-501.343,306.763,-127.686
0.154,-0.841,0.031,-540.710,274.536,-111.572
0.054,-0.856,-0.196,-572.937,198.242,-112.244
-0.132,-0.970,-0.543,-564.026,170.837,-124.207
-0.068,-1.031,-1.136,-496.338,153.015,-150.513
0.039,-1.010,-1.442,-352.661,163.208,-147.156
0.176,-1.006,-1.744,-273.071,155.334,-132.080
0.176,-1.046,-1.794,-131.226,106.079,-86.853
0.164,-1.103,-1.845,-71.960,75.195,-62.195
0.252,-0.984,-1.804,19.958,17.212,-21.362
0.299,-0.838,-1.714,92.712,-30.823,13.306
0.379,-0.521,-1.428,131.287,-47.302,28.564
0.411,-0.413,-1.281,198.486,-74.463,49.011
0.454,-0.286,-1.027,221.985,-87.708,54.871
0.446,-0.238,-0.917,253.296,-107.483,66.162
0.391,-0.153,-0.732,262.695,-111.084,71.716
0.433,-0.033,-0.637,264.587,-108.459,72.205
0.497,0.045,-0.575,253.418,-120.789,60.059
0.574,0.147,-0.426,246.887,-132.874,52.917
0.563,0.189,-0.358,234.802,-143.860,43.884
0.540,0.272,-0.242,234.802,-142.456,43.335
0.568,0.303,-0.169,251.709,-135.620,44.006
0.649,0.325,0.020,266.968,-133.789,47.607
0.640,0.285,0.240,295.959,-128.174,64.087
0.608,0.265,0.319,303.589,-123.901,72.327
0.562,0.279,0.393,299.622,-121.826,76.050
0.596,0.304,0.418,297.241,-128.296,68.054
0.677,0.322,0.555,306.152,-139.709,68.542
0.609,0.306,0.802,336.060,-179.138,78.552
0.521,0.265,0.973,349.121,-208.557,83.069
0.290,0.165,1.198,336.365,-243.103,86.121
0.243,0.137,1.332,275.085,-204.102,80.505
0.192,0.212,1.386,241.516,-184.265,73.425
0.196,0.276,1.361,188.599,-135.742,56.702
0.210,0.361,1.316,168.030,-111.450,49.377
0.210,0.387,1.281,140.076,-74.585,35.400
0.206,0.373,1.271,128.418,-45.837,18.433
0.229,0.303,1.303,122.925,-30.823,10.071
0.248,0.269,1.320,98.022,-8.240,-2.625
0.274,0.240,1.234,78.247,-0.671,-6.653
0.289,0.251,1.147,42.175,7.996,-13.733
0.327,0.272,0.978,34.363,8.667,-17.029
0.473,0.272,0.928,34.058,7.690,-16.968
0.963,0.299,1.255,42.908,-1.648,23.315
0.413,0.123,1.881,23.499,-24.597,39.185
-0.029,-0.004,1.472,-29.663,-32.104,-6.958
0.242,0.277,0.832,-21.301,16.724,-14.160
0.310,0.350,0.801,33.203,58.167,2.441
0.237,0.242,0.701,39.917,49.622,4.517
0.274,0.228,0.744,17.090,45.349,-2.380
0.398,0.135,0.900,7.202,34.607,-9.583
0.434,0.089,0.919,-1.221,1.648,-11.292
0.444,0.096,0.961,-1.038,-7.263,-4.028
0.417,0.130,0.967,-0.671,-18.372,6.470
0.402,0.172,0.952,-1.892,-15.625,6.897
0.412,0.174,0.937,-9.888,1.038,4.517
0.429,0.176,0.884,-15.869,8.911,3.967
0.423,0.192,0.847,-24.841,16.602,4.578
0.440,0.251,0.808,-23.743,16.235,6.653
0.448,0.265,0.832,-12.329,7.019,10.376
0.419,0.274,0.870,-7.751,-1.099,8.972
0.396,0.288,0.866,-3.052,-10.254,3.601
0.395,0.287,0.863,0.732,-7.080,-0.366
0.394,0.269,0.868,1.892,-3.967,-1.648
0.385,0.260,0.865,2.930,1.221,-4.089
0.385,0.263,0.865,4.089,2.075,-4.944
0.389,0.264,0.873,7.751,-1.221,-5.371
0.393,0.242,0.892,9.949,-3.906,-5.920
0.400,0.202,0.899,15.259,-5.554,-6.531
0.405,0.183,0.901,15.625,-2.075,-4.333
0.413,0.161,0.904,12.756,-0.977,-2.991
0.414,0.159,0.904,3.845,-0.793,-0.427
0.413,0.173,0.908,0.244,-1.099,0.610
0.410,0.181,0.906,-3.296,-2.625,1.587
0.402,0.195,0.895,-4.028,-3.418,1.526
0.399,0.205,0.884,-4.456,-4.211,0.977
0.401,0.209,0.882,-3.174,-2.686,1.282
0.403,0.214,0.890,-2.441,-1.526,1.892
0.401,0.216,0.894,-2.014,-0.610,2.686
0.394,0.224,0.896,-2.625,-0.854,2.625
0.391,0.231,0.886,-3.906,-2.136,1.892
0.392,0.233,0.885,-2.747,-2.075,1.282
0.391,0.231,0.890,-1.648,-1.465,0.977
0.392,0.227,0.892,0.549,1.343,0.916
0.393,0.220,0.888,1.404,2.441,1.221
0.391,0.219,0.883,1.038,1.770,1.709
0.391,0.221,0.885,-0.061,0.000,1.587
0.393,0.222,0.890,0.000,-2.563,1.160
0.392,0.215,0.901,1.221,-2.197,1.282
0.385,0.213,0.896,2.014,0.244,1.526
0.384,0.214,0.891,0.793,2.625,0.977
0.393,0.215,0.884,0.122,2.747,0.488
0.401,0.213,0.886,-0.671,1.099,-0.183
0.406,0.210,0.890,-0.610,-0.122,-0.183
0.404,0.210,0.889,0.061,-1.709,0.793
0.394,0.216,0.887,0.488,-1.587,1.404
0.384,0.221,0.892,0.183,-0.916,1.404
0.381,0.224,0.895,-1.038,-0.122,0.366
0.384,0.224,0.896,-0.854,0.427,-0.183
0.389,0.220,0.892,-0.488,0.427,-0.854
0.393,0.218,0.888,-0.488,-0.122,-0.610
0.393,0.218,0.892,-0.061,-0.427,0.000
0.394,0.214,0.891,0.366,0.244,0.549
0.390,0.217,0.891,-0.122,0.183,0.854
0.387,0.223,0.894,-0.977,-0.183,0.610
0.390,0.226,0.894,0.000,0.977,-0.244
0.396,0.220,0.884,0.549,1.343,-0.305
0.395,0.220,0.884,0.549,1.038,0.122
0.388,0.224,0.895,0.427,0.916,0.305

0.386,-0.006,2.451,-142.090,52.917,17.883
0.324,-0.044,2.796,-271.729,60.425,21.484
0.051,-0.067,2.972,-363.586,78.674,18.005
0.030,0.066,2.717,-517.029,120.239,-27.100
0.263,0.426,2.213,-549.011,130.432,-65.247
0.461,0.615,1.932,-544.678,125.122,-121.826
0.424,0.612,1.818,-504.089,162.109,-133.667
0.179,0.322,1.512,-489.746,206.543,-139.587
0.052,-0.035,1.257,-516.846,290.405,-189.270
-0.025,-0.834,0.415,-552.429,303.833,-224.060
-0.011,-1.084,0.008,-597.778,278.564,-251.404
-0.019,-1.376,-0.478,-594.543,249.695,-239.868
-0.021,-1.364,-0.824,-547.180,190.491,-194.519
-0.033,-1.290,-1.038,-434.936,177.246,-141.113
-0.061,-1.171,-1.373,-368.225,183.228,-113.770
-0.124,-1.154,-1.434,-242.249,171.631,-71.716
-0.300,-1.162,-1.563,-182.556,150.818,-62.439
-0.305,-1.158,-1.791,-73.425,102.417,-62.988
-0.190,-1.077,-1.905,9.949,41.321,-73.120
0.143,-0.776,-1.855,47.424,9.949,-71.350
0.345,-0.567,-1.366,125.305,-39.856,-42.419
0.386,-0.504,-1.111,183.411,-73.303,2.136
0.439,-0.370,-0.744,197.876,-87.463,20.630
0.447,-0.299,-0.634,204.102,-107.422,44.006
0.434,-0.176,-0.547,199.768,-112.000,49.744
0.458,-0.048,-0.587,180.786,-115.234,48.401
0.506,0.029,-0.617,171.265,-116.882,42.542
0.606,0.142,-0.579,171.936,-122.925,34.119
0.617,0.150,-0.580,187.256,-134.888,40.161
0.588,0.137,-0.533,190.430,-130.920,44.250
0.596,0.152,-0.492,189.331,-121.033,48.889
0.641,0.219,-0.409,189.819,-121.887,50.842
0.656,0.265,-0.362,196.960,-128.845,59.082
0.613,0.345,-0.250,205.078,-131.226,63.293
0.587,0.349,-0.201,231.018,-129.822,65.063
0.635,0.307,-0.119,260.498,-130.188,62.805
0.768,0.332,0.031,274.841,-134.521,64.697
0.794,0.365,0.173,310.486,-146.362,78.857
0.700,0.331,0.561,329.895,-149.658,89.661
0.620,0.283,0.708,346.069,-143.494,103.088
0.499,0.306,0.828,338.562,-135.803,102.417
0.527,0.386,0.907,318.665,-119.019,83.069
0.551,0.385,0.889,306.458,-122.070,67.749
0.605,0.372,0.947,270.325,-115.234,45.898
0.601,0.367,1.063,222.473,-120.728,40.771
0.510,0.330,1.173,191.711,-126.343,40.100
0.452,0.357,1.179,127.747,-113.892,38.940
0.437,0.400,1.134,85.571,-94.116,26.428
0.463,0.484,1.076,82.825,-85.205,16.541
0.474,0.490,1.075,104.126,-69.946,4.395
0.473,0.411,1.043,114.624,-62.988,2.197
0.482,0.365,1.016,118.286,-53.284,0.488
0.506,0.299,0.956,112.732,-52.429,2.014
0.461,0.293,0.896,87.769,-59.326,8.850
0.427,0.300,0.860,74.890,-63.416,10.559
0.376,0.288,0.823,68.054,-62.378,4.456
0.366,0.259,0.812,73.853,-58.472,-0.977
0.375,0.165,0.841,90.637,-42.786,-8.118
0.385,0.121,0.862,92.590,-36.011,-4.639
0.368,0.085,0.920,86.182,-39.673,-0.427
0.557,0.141,1.043,73.059,-53.833,18.677
0.805,0.012,2.144,53.284,-76.294,48.218
0.130,-0.099,2.081,-46.570,-142.639,24.170
0.013,0.243,1.043,-55.115,-90.637,-17.212
0.190,0.382,0.788,5.737,62.195,-8.667
0.179,0.334,0.730,26.428,73.547,-0.732
0.266,0.224,0.814,10.315,63.354,-7.019
0.307,0.194,0.883,-36.133,29.175,-23.621
0.369,0.233,0.915,-47.363,8.423,-30.884
0.392,0.230,0.915,-27.344,-13.550,-28.687
0.412,0.167,0.918,-9.766,-13.489,-19.897
0.407,0.143,0.918,11.353,-1.282,1.587
0.390,0.154,0.913,5.737,13.489,12.085
0.350,0.196,0.895,-1.709,17.578,12.024
0.342,0.215,0.879,-10.864,18.616,6.897
0.375,0.231,0.890,-10.986,15.564,4.517
0.383,0.224,0.920,-10.193,2.625,1.343
0.375,0.214,0.916,-9.705,-3.235,-0.122
0.376,0.219,0.897,-3.357,-1.282,-0.305
0.381,0.227,0.881,0.549,3.906,0.610
0.383,0.219,0.890,1.221,11.963,0.732
0.383,0.208,0.886,-1.953,12.756,-0.305
0.391,0.228,0.879,-6.226,8.362,-1.953
0.388,0.231,0.888,-5.188,4.578,-1.770
0.369,0.227,0.918,-0.549,-0.854,-0.366
0.357,0.222,0.927,0.305,2.197,0.427
0.356,0.217,0.922,-0.732,6.836,0.061
0.364,0.218,0.914,-1.892,11.902,-0.427
0.380,0.219,0.879,-3.540,17.029,-0.671
0.391,0.222,0.861,-4.761,12.390,-1.282
0.414,0.229,0.849,-5.127,6.897,-1.709
0.422,0.227,0.857,-2.686,-3.540,-1.526
0.422,0.218,0.885,-0.061,-5.615,-0.793
0.420,0.213,0.886,3.113,-3.296,1.404
0.413,0.213,0.877,2.563,-1.282,2.502
0.397,0.224,0.877,-0.610,-0.183,3.418
0.392,0.228,0.884,-0.977,-2.258,2.930
0.385,0.228,0.897,0.244,-3.723,2.625
0.384,0.224,0.900,3.235,-4.150,2.625
0.389,0.211,0.900,4.211,-1.038,3.723
0.388,0.209,0.893,3.296,0.916,4.333
0.386,0.214,0.891,0.488,2.869,4.822
0.380,0.226,0.892,-0.732,2.014,4.517
0.379,0.230,0.895,-2.197,-1.831,2.991
0.376,0.235,0.899,-2.380,-3.662,1.953
0.374,0.237,0.899,-2.502,-5.005,0.183
0.376,0.233,0.897,-2.075,-3.845,-0.427
0.385,0.221,0.886,-0.244,0.488,-0.122
0.385,0.223,0.884,0.549,2.197,0.977
0.377,0.234,0.897,0.732,1.831,0.977
0.377,0.230,0.909,1.770,1.648,-0.183
0.383,0.224,0.900,1.099,2.258,-1.160
0.386,0.224,0.880,-0.061,1.770,-1.221
0.386,0.225,0.880,0.122,1.953,-0.977
0.396,0.213,0.887,1.160,2.136,-0.671
0.401,0.209,0.886,1.343,0.793,1.221
0.398,0.219,0.887,0.916,-0.488,2.014
0.384,0.230,0.895,0.366,-2.625,2.197
0.378,0.232,0.902,1.038,-1.038,1.221

0.698,-0.646,2.332,-27.466,78.308,42.114
0.805,-0.714,2.483,-206.177,52.246,145.691
0.423,-0.534,2.940,-297.180,40.588,195.984
-0.267,0.040,2.749,-495.300,69.519,173.035
-0.277,0.448,2.268,-624.512,104.919,-22.278
0.187,0.802,1.534,-611.084,115.356,-110.718
0.329,0.649,1.383,-521.423,150.574,-163.696
0.395,0.253,1.246,-501.099,174.438,-152.649
0.381,0.112,1.201,-527.649,184.875,-145.752
0.237,-0.234,0.725,-558.472,173.767,-155.090
0.099,-0.488,0.060,-580.200,166.565,-174.683
0.050,-0.620,-0.135,-510.986,171.204,-174.133
0.035,-0.877,-0.414,-467.468,173.767,-165.833
0.051,-0.939,-0.576,-400.879,175.171,-138.611
0.032,-0.956,-0.862,-346.558,171.020,-106.201
-0.060,-0.989,-1.118,-313.843,167.480,-93.811
-0.091,-1.006,-1.260,-228.455,156.189,-76.904
-0.111,-1.059,-1.587,-180.664,141.541,-74.585
-0.080,-1.073,-1.780,-87.341,82.642,-81.299
0.107,-0.962,-2.117,18.860,13.000,-77.148
0.344,-0.766,-1.996,74.097,-11.963,-60.547
0.415,-0.677,-1.764,167.114,-48.889,-5.798
0.437,-0.487,-1.275,201.233,-67.200,20.447
0.440,-0.261,-0.910,243.713,-101.868,52.124
0.452,-0.147,-0.771,255.127,-113.281,59.387
0.437,0.010,-0.575,264.954,-122.864,65.369
0.415,0.065,-0.530,254.456,-122.375,58.655
0.457,0.202,-0.494,246.704,-118.469,49.927
0.526,0.281,-0.445,240.112,-121.582,30.457
0.626,0.413,-0.389,239.014,-127.014,27.222
0.619,0.452,-0.234,242.187,-115.601,36.987
0.603,0.442,-0.157,245.056,-106.384,47.485
0.616,0.424,-0.033,244.141,-105.591,48.523
0.607,0.432,0.033,241.333,-109.070,50.354
0.571,0.448,0.127,244.080,-109.619,51.453
0.545,0.437,0.163,259.399,-105.225,50.964
0.579,0.392,0.250,268.616,-103.027,49.194
0.602,0.364,0.344,283.752,-106.873,51.819
0.557,0.316,0.620,281.555,-113.220,54.932
0.523,0.322,0.709,256.531,-126.648,51.392
0.470,0.361,0.840,238.525,-135.803,42.847
0.447,0.407,0.756,201.538,-152.039,24.719
0.527,0.448,0.826,195.129,-144.714,20.508
0.533,0.336,1.099,200.989,-150.452,27.649
0.470,0.302,1.223,192.139,-152.344,37.048
0.347,0.402,1.292,141.052,-141.418,47.180
0.310,0.486,1.248,115.967,-126.099,44.800
0.334,0.566,1.111,92.712,-77.454,24.780
0.382,0.559,1.049,96.069,-40.833,2.808
0.447,0.495,0.990,100.220,-33.813,-3.296
0.479,0.449,0.999,110.168,-36.804,-2.808
0.494,0.369,1.052,115.173,-42.664,3.235
0.471,0.343,1.083,111.755,-58.228,17.090
0.382,0.331,1.090,103.455,-64.636,21.606
0.343,0.337,1.085,85.815,-63.049,20.264
0.294,0.334,1.028,79.651,-54.810,15.076
0.289,0.317,0.992,72.571,-26.611,2.197
0.305,0.245,0.934,70.923,-13.367,-2.014
0.309,0.208,0.925,71.045,-1.953,-5.554
0.292,0.191,0.927,72.693,-3.174,-6.592
0.274,0.212,0.943,78.125,-7.324,-12.573
0.232,0.257,1.000,78.552,-6.714,-19.714
0.214,0.232,1.005,60.120,-0.916,-44.434
0.247,0.119,0.910,45.898,1.282,-58.044
0.361,0.082,0.850,41.748,8.057,-61.340
0.954,0.024,1.356,61.462,10.376,-39.368
0.692,-0.157,1.673,41.077,-37.842,16.602
0.265,0.001,1.220,7.324,-43.640,16.846
0.293,0.174,0.965,2.991,38.208,11.292
0.310,0.244,0.760,14.465,53.711,11.963
0.314,0.198,0.672,17.090,40.405,5.249
0.401,0.135,0.745,11.841,32.410,3.052
0.402,0.134,0.805,2.563,2.563,1.587
0.387,0.156,0.897,4.578,-10.864,1.221
0.377,0.143,0.953,20.264,-24.109,1.221
0.368,0.097,1.010,24.963,-25.757,1.526
0.368,0.080,1.018,22.156,-15.625,2.808
0.362,0.051,0.987,16.418,-5.798,2.869
0.362,0.053,0.952,3.113,12.817,2.197
0.365,0.094,0.888,-0.854,18.250,2.380
0.378,0.109,0.882,-0.427,18.188,3.296
0.391,0.091,0.916,0.793,12.695,2.808
0.390,0.085,0.922,0.488,-1.160,0.488
0.388,0.091,0.916,0.305,-4.944,0.488
0.388,0.093,0.914,0.488,-4.150,2.808
0.387,0.089,0.923,0.183,-1.709,3.418
0.379,0.093,0.921,-0.183,4.150,3.113
0.369,0.119,0.909,0.732,7.080,2.686
0.366,0.126,0.906,5.798,8.179,-0.244
0.367,0.130,0.907,9.277,6.775,-2.502
0.378,0.099,0.916,13.611,4.395,-4.822
0.388,0.082,0.917,8.545,1.282,-4.150
0.396,0.075,0.926,4.700,-0.305,-3.052
0.393,0.078,0.925,1.343,-0.854,-0.977
0.390,0.081,0.917,1.648,0.183,-0.122
0.389,0.080,0.912,1.099,0.916,0.610
0.390,0.083,0.908,-0.244,0.244,0.610
0.389,0.085,0.911,-2.197,-1.770,0.549
0.389,0.084,0.917,-1.770,-1.892,0.977
0.390,0.081,0.922,-0.244,-0.732,2.197
0.386,0.084,0.923,-0.671,-0.427,2.747
0.385,0.087,0.919,-1.587,-0.122,3.113
0.393,0.091,0.903,-3.235,-0.061,2.747
0.396,0.092,0.900,-3.418,-0.732,2.625
0.391,0.091,0.907,-2.380,-2.258,3.540
0.387,0.094,0.912,-1.465,-2.686,4.211
0.383,0.097,0.917,0.000,-2.136,4.822
0.374,0.100,0.923,0.488,-1.221,4.822
0.371,0.100,0.920,0.244,0.244,4.395
0.369,0.102,0.918,-0.549,0.122,3.845
0.369,0.105,0.922,-1.404,-0.854,2.380
0.371,0.104,0.926,0.122,-0.122,1.343
0.377,0.101,0.923,1.160,1.160,1.099
0.381,0.100,0.917,2.869,4.517,0.732
0.391,0.094,0.902,3.113,5.432,0.427
0.395,0.091,0.899,2.014,3.723,0.488
0.394,0.088,0.911,1.465,2.014,0.793
0.391,0.085,0.919,1.343,-0.488,1.160
0.381,0.083,0.922,0.793,-1.343,1.221

0.772,-0.784,2.329,14.709,93.384,-32.776
0.836,-0.872,2.619,-170.105,57.617,26.245
0.539,-0.615,2.924,-276.367,27.649,56.396
0.107,-0.225,2.984,-427.307,39.429,69.397
-0.033,-0.194,2.965,-537.842,154.358,19.592
-0.184,-0.253,2.497,-590.820,218.018,-11.902
-0.212,-0.195,2.033,-658.020,318.604,-73.242
-0.070,-0.047,1.023,-640.015,356.018,-119.751
0.117,-0.185,0.478,-612.549,340.515,-130.432
0.097,-0.317,0.308,-570.068,272.949,-129.333
-0.033,-0.557,-0.008,-549.683,246.643,-119.629
-0.071,-0.651,-0.177,-491.516,221.008,-93.262
-0.048,-0.804,-0.543,-456.604,211.548,-80.933
-0.097,-0.950,-0.748,-397.827,187.622,-61.768
-0.143,-1.014,-0.805,-369.751,170.044,-60.425
-0.215,-1.116,-1.012,-356.689,166.931,-67.017
-0.241,-1.150,-1.199,-313.477,155.701,-87.219
-0.243,-1.154,-1.771,-277.954,141.785,-98.816
-0.052,-1.052,-2.364,-158.386,96.985,-112.915
0.092,-0.955,-2.481,0.793,39.856,-94.482
0.262,-0.728,-2.164,75.684,11.902,-70.129
0.256,-0.649,-1.816,191.833,-28.931,-10.559
0.205,-0.500,-1.195,227.112,-48.523,12.451
0.224,-0.267,-0.780,252.197,-86.304,37.231
0.253,-0.166,-0.666,236.999,-110.840,43.030
0.295,-0.031,-0.615,222.351,-119.019,41.077
0.307,0.030,-0.639,196.411,-129.028,30.212
0.372,0.150,-0.657,191.040,-129.211,23.071
0.427,0.200,-0.619,197.632,-128.113,9.460
0.502,0.244,-0.506,204.651,-134.705,6.226
0.511,0.221,-0.442,211.914,-134.460,5.249
0.529,0.215,-0.412,210.266,-122.498,10.498
0.596,0.249,-0.344,209.961,-123.047,14.648
0.650,0.282,-0.282,221.130,-135.620,27.100
0.709,0.316,-0.102,233.643,-145.630,37.537
0.675,0.324,0.010,256.714,-162.231,63.110
0.513,0.312,0.218,260.498,-162.476,70.801
0.471,0.315,0.256,253.479,-145.569,63.232
0.557,0.374,0.261,252.930,-136.658,54.749
0.656,0.398,0.350,269.897,-141.174,45.776
0.672,0.391,0.409,307.861,-170.654,47.180
0.646,0.326,0.630,331.482,-196.472,51.208
0.596,0.250,0.777,362.610,-237.976,69.336
0.433,0.097,1.292,353.332,-241.943,76.111
0.337,0.066,1.499,268.250,-215.210,71.411
0.201,0.164,1.638,204.895,-179.443,64.270
0.229,0.423,1.376,95.337,-87.341,37.415
0.309,0.515,1.214,68.115,-46.936,19.531
0.462,0.492,1.020,67.322,-2.991,-7.874
0.506,0.434,0.991,85.327,-13.306,-12.085
0.521,0.361,0.981,89.111,-28.564,-7.568
0.496,0.351,0.957,92.163,-53.040,2.991
0.482,0.333,0.941,94.849,-59.692,5.798
0.471,0.292,0.930,99.304,-66.223,8.606
0.453,0.220,0.973,98.511,-70.618,10.376
0.439,0.201,1.014,89.600,-83.923,13.794
0.372,0.185,1.087,85.083,-86.548,15.869
0.326,0.191,1.105,75.256,-75.134,19.043
0.255,0.212,1.089,70.007,-62.561,18.372
0.244,0.216,1.054,61.035,-28.687,10.620
0.262,0.186,0.961,56.763,-12.390,4.822
0.279,0.166,0.926,51.819,0.732,-5.554
0.326,0.152,0.916,52.795,-3.845,-8.789
0.785,0.078,1.666,61.035,-25.452,5.066
0.471,-0.089,1.988,9.216,-98.206,13.611
-0.004,0.104,1.137,-13.489,-87.952,-0.244
0.119,0.251,0.929,15.137,53.772,5.371
0.228,0.226,0.793,33.813,72.083,9.766
0.218,0.186,0.738,22.339,52.063,3.357
0.321,0.147,0.877,4.822,40.588,-1.404
0.333,0.164,0.937,-19.287,1.709,-9.521
0.345,0.176,0.960,-5.493,-11.475,-8.423
0.349,0.129,0.995,5.981,-8.972,-3.967
0.335,0.106,0.972,13.611,1.038,2.808
0.318,0.120,0.926,11.047,8.667,3.723
0.316,0.139,0.909,4.639,20.630,2.930
0.323,0.147,0.900,3.174,22.888,1.648
0.332,0.146,0.897,2.014,15.686,-2.258
0.364,0.131,0.918,2.930,8.728,-3.235
0.364,0.112,0.935,4.822,-6.165,-2.686
0.346,0.097,0.938,5.127,-9.705,-1.282
0.328,0.103,0.943,4.639,-6.226,1.770
0.323,0.107,0.944,0.854,0.977,1.709
0.318,0.114,0.946,-1.404,3.479,0.977
0.318,0.122,0.937,-3.479,4.456,-0.488
0.331,0.131,0.933,-2.502,4.028,-0.610
0.335,0.127,0.933,-0.061,1.831,0.000
0.330,0.130,0.936,0.549,1.465,0.366
0.333,0.129,0.929,0.549,3.906,0.244
0.341,0.124,0.928,-1.648,4.456,-0.244
0.334,0.129,0.928,-3.418,2.380,-0.610
0.332,0.139,0.932,-3.723,0.549,-0.854
0.344,0.137,0.929,-2.319,1.038,-1.099
0.351,0.132,0.916,-1.587,0.610,-1.587
0.353,0.131,0.906,-2.563,-0.793,-1.221
0.348,0.135,0.912,-1.709,-2.014,0.610
0.336,0.146,0.936,0.610,-1.038,1.526
0.331,0.147,0.945,5.066,2.441,1.831
0.337,0.132,0.942,4.883,3.540,1.160
0.337,0.129,0.932,-0.122,1.831,-0.854
0.338,0.132,0.913,-1.282,0.977,-1.221
0.346,0.124,0.919,0.854,0.183,-0.427
0.345,0.122,0.926,1.343,-0.916,0.061
0.336,0.126,0.939,-0.061,-2.930,0.244
0.333,0.127,0.939,-0.244,-1.404,0.122
0.338,0.129,0.934,-0.183,-0.183,0.061
0.339,0.130,0.930,-0.305,1.526,0.244
0.338,0.133,0.926,-0.305,2.014,0.488
0.336,0.135,0.927,-0.183,0.916,0.793
0.331,0.137,0.936,0.427,0.671,0.732
0.334,0.128,0.951,1.953,2.136,0.000
0.336,0.123,0.953,3.540,6.653,0.366
0.348,0.110,0.953,4.211,10.132,1.343
0.351,0.110,0.941,3.113,15.686,3.723
0.354,0.125,0.901,0.793,15.930,4.456
0.357,0.135,0.887,-3.113,9.644,3.784
0.359,0.145,0.886,-3.296,4.456,2.686
0.356,0.147,0.899,-1.160,-3.845,0.549
0.346,0.142,0.927,0.183,-5.371,-0.305

0.172,-0.421,2.388,-46.814,17.395,-40.710
0.188,-0.487,2.656,-168.762,38.086,-17.517
